Nawisko aktualne,Liczba
ROSIŃSKA,9045
KLIMCZAK,8952
BANAŚ,8924
GODLEWSKA,8913
KOMOROWSKA,8893
CYBULSKA,8887
ŻURAWSKA,8873
BIENIEK,8829
ZAWADA,8785
SZCZĘSNA,8735
GRUSZKA,8719
SKRZYPCZAK,8719
CICHOCKA,8703
GROCHOWSKA,8700
PRZYBYŁA,8658
KULIK,8564
RÓŻAŃSKA,8558
KUŚ,8516
WINIARSKA,8494
GÓRKA,8479
CICHOŃ,8471
NIEWIADOMSKA,8465
KRZYŻANOWSKA,8372
KRAWIEC,8368
ZAREMBA,8356
PANEK,8347
MIELCZAREK,8342
LEŚNIEWSKA,8318
SIWEK,8295
PTAK,8285
KONOPKA,8266
SŁOWIK,8223
STRZELECKA,8214
TOKARSKA,8208
GIL,8192
FILIPIAK,8179
MIKOŁAJCZAK,8175
ZARZYCKA,8164
GRACZYK,8157
ANTCZAK,8085
SZCZEPANIK,8084
MAĆKOWIAK,8074
SZYMCZYK,8022
STAŃCZYK,8005
KŁOS,7993
BARTKOWIAK,7956
BUCZEK,7945
KACZYŃSKA,7928
JANIAK,7889
GÓRNA,7886
MŁYNARCZYK,7868
CIEŚLA,7858
BIERNAT,7812
GRZYB,7775
SKOWRON,7769
SZCZYGIEŁ,7769
KOSTRZEWA,7746
JANUS,7738
BANASIAK,7726
SZOSTAK,7726
SIENKIEWICZ,7704
RAKOWSKA,7696
BOGUSZ,7693
BARTCZAK,7662
WĘGRZYN,7658
KRÓLIKOWSKA,7655
DŁUGOSZ,7641
JUREK,7631
KALETA,7628
KSIĄŻEK,7624
KUBIK,7624
KUCHARCZYK,7622
GĄSIOR,7591
RÓŻYCKA,7560
GAWRON,7559
FRĄCZEK,7526
GAWLIK,7465
ŻEBROWSKA,7440
BAGIŃSKA,7433
DOBOSZ,7430
ROGALSKA,7420
KULA,7405
HAJDUK,7350
MELNYK,7319
MIKULSKA,7315
WITCZAK,7315
ZARĘBA,7305
PAŁKA,7285
GAWROŃSKA,7284
TROJANOWSKA,7281
TRZCIŃSKA,7278
MALISZEWSKA,7257
FRANKOWSKA,7251
MALEC,7247
RZEPKA,7229
RYBICKA,7227
GRZEGORCZYK,7214
ROJEK,7214
ROGALA,7193
RADOMSKA,7189
TKACZYK,7154
DUDZIŃSKA,7123
KACZOROWSKA,7085
KISIEL,7028
FIJAŁKOWSKA,6983
FRĄCKOWIAK,6977
NAWROT,6960
BOGUCKA,6955
MIKA,6932
LACH,6904
GRZESIAK,6884
BOREK,6868
WIĘCKOWSKA,6844
CZYŻEWSKA,6842
GAŁĄZKA,6835
STEC,6827
ZABOROWSKA,6827
KWAŚNIEWSKA,6822
WOJTCZAK,6817
LIPSKA,6793
WĄSIK,6793
BIAŁAS,6766
ROSIAK,6739
SOKÓŁ,6710
ŚLUSARCZYK,6690
KMIECIK,6684
WÓJCICKA,6684
BURZYŃSKA,6674
BOCHENEK,6665
WNUK,6615
JUSZCZAK,6609
KARWOWSKA,6608
KOŁODZIEJSKA,6593
PIETRAS,6593
LASOTA,6574
JANAS,6568
WALKOWIAK,6565
PAWELEC,6559
KUBACKA,6557
DĄBEK,6552
SZAFRAŃSKA,6550
ŁUKASIEWICZ,6546
DRZEWIECKA,6520
ZAJĄCZKOWSKA,6519
GRUSZCZYŃSKA,6503
MROCZEK,6487
WROŃSKA,6477
SKRZYPEK,6474
KRYSIAK,6447
PASTERNAK,6447
DĘBOWSKA,6420
DZIUBA,6415
ZYGMUNT,6412
FLIS,6404
JĘDRZEJCZAK,6396
MASŁOWSKA,6394
JĘDRZEJCZYK,6390
JAGODZIŃSKA,6376
JAGIEŁŁO,6365
BIELAWSKA,6344
ŁAPIŃSKA,6344
MISIAK,6344
ŻMUDA,6329
LISIECKA,6316
PIWOWARCZYK,6316
BOROWIEC,6308
FILIPEK,6305
CEBULA,6297
KRAKOWIAK,6259
CYGAN,6249
JURKIEWICZ,6246
PIÓRKOWSKA,6244
FALKOWSKA,6232
KARAŚ,6232
KUBICA,6231
KAŁUŻA,6230
WILCZEK,6226
SKIBIŃSKA,6222
CZAPLA,6204
STELMACH,6192
TWARDOWSKA,6190
SOBIERAJ,6181
URBAŃCZYK,6177
BUJAK,6166
GUTOWSKA,6142
PILARSKA,6142
GAWEŁ,6127
RACZYŃSKA,6124
STRZELCZYK,6113
ZIELONKA,6088
DROZDOWSKA,6087
NOWACZYK,6085
CISZEWSKA,6082
ŁUKASZEWSKA,6068
WASIAK,6039
TARNOWSKA,6032
SZCZEŚNIAK,6030
SKOCZYLAS,6023
BILSKA,6021
ANDRZEJCZAK,6004
JAKUBIAK,5998
SOŁTYS,5974
BARTOSIK,5973
PAKUŁA,5954
GĄSIOROWSKA,5937
MIERZEJEWSKA,5925
GÓRNIAK,5923
DUBIEL,5904
BOBER,5901
SZWED,5869
KĘDZIORA,5843
GUZIK,5839
STANEK,5816
KOPCZYŃSKA,5812
MAJCHER,5807
MILCZAREK,5799
STASZEWSKA,5793
KRUPIŃSKA,5738
STOLARCZYK,5737
MATUSZAK,5709
CHOLEWA,5706
JAŚKIEWICZ,5693
GÓRAL,5690
JEZIERSKA,5690
WIĘCEK,5690
SŁAWIŃSKA,5689
KAŁUŻNA,5682
SŁOWIŃSKA,5673
ZWOLIŃSKA,5668
FLOREK,5665
KACZMARSKA,5659
ZAGÓRSKA,5657
RUSIN,5652
SIEDLECKA,5641
ROMANIUK,5623
RUCIŃSKA,5614
OLCZAK,5610
GOŁĄB,5594
KASZUBA,5594
JACKOWSKA,5591
MISZTAL,5586
WOLAK,5576
PYTEL,5570
PAWLIKOWSKA,5564
MOTYKA,5556
DOMINIAK,5547
GRZYWACZ,5539
FLORCZAK,5529
PACZKOWSKA,5528
KULIG,5512
PARTYKA,5512
SIERADZKA,5498
KUCHTA,5495
MALICKA,5492
BOŻEK,5486
SOCHACKA,5482
MODZELEWSKA,5481
ŚWIERCZYŃSKA,5463
IWAŃSKA,5451
DUDZIAK,5450
JANKOWIAK,5443
PROKOP,5438
MICHAŁEK,5434
BIEŃKOWSKA,5430
KUC,5423
WOJTAS,5410
SKALSKA,5404
STĘPNIAK,5404
KOVALCHUK,5393
GWÓŹDŹ,5384
CZECHOWSKA,5377
KNAPIK,5376
KWIECIŃSKA,5374
KAPUSTA,5372
DUDZIK,5367
SITEK,5367
ADAMUS,5365
STACHURA,5361
JANUSZ,5357
KOZA,5350
JURKOWSKA,5343
GAŁKA,5342
BIELAK,5341
KĘPA,5341
DOBRZYŃSKA,5337
NOGA,5336
FILIPOWICZ,5323
ADAMEK,5312
BRODA,5312
DEC,5309
PASZKOWSKA,5309
SZYSZKA,5308
PŁONKA,5305
ROSA,5300
SKÓRA,5296
STANISŁAWSKA,5291
ADAMCZAK,5279
KOLASA,5254
WŁODARSKA,5249
MAŃKOWSKA,5246
KOWALCZUK,5243
SZATKOWSKA,5242
SUSKA,5241
CHOJNOWSKA,5235
MROCZKOWSKA,5232
SHEVCHENKO,5232
KRUSZEWSKA,5205
MAJKA,5182
TOMALA,5171
AUGUSTYN,5166
SZCZERBA,5162
WOŚ,5153
LIPKA,5147
MOLENDA,5142
TRZECIAK,5142
PUCHALSKA,5140
MICHALCZYK,5137
LENART,5136
WYSZYŃSKA,5129
BUCZYŃSKA,5111
JANUSZEWSKA,5103
NIEMCZYK,5099
CHMURA,5088
SKOWRONEK,5065
KOTOWSKA,5056
SALAMON,5055
GŁOGOWSKA,5033
KITA,5032
ADAMOWICZ,5030
NIEDZIELSKA,5028
KANIEWSKA,5003
ZDUNEK,5003
MROZEK,5002
PIECHOTA,5002
ŻUK,4981
ADAMIAK,4979
KOBUS,4967
DRABIK,4958
KOPER,4951
STOLARSKA,4950
ZIĘTEK,4949
MALIK,4946
JAGIELSKA,4945
MAŚLANKA,4945
KOŁAKOWSKA,4918
PILCH,4913
BANASIK,4907
BUDZYŃSKA,4907
KOGUT,4892
NIEDŹWIECKA,4890
KAWA,4884
WYPYCH,4882
BĄKOWSKA,4879
PRZYBYŁ,4879
TOKARZ,4865
DRÓŻDŻ,4864
SOŁTYSIAK,4862
GRZESIK,4857
WARCHOŁ,4855
ROBAK,4850
KŁOSOWSKA,4849
RUDZIŃSKA,4848
GORCZYCA,4842
MIŚKIEWICZ,4838
BUCZKOWSKA,4822
MOROZ,4813
CHUDZIK,4800
STAŃCZAK,4797
JARZĄBEK,4792
KALISZ,4792
URBANEK,4786
HERMAN,4785
PRUS,4783
BIAŁKOWSKA,4782
KOS,4780
MACIĄG,4778
PORĘBSKA,4776
KASPEREK,4773
SOJKA,4771
DĄBKOWSKA,4767
FURMAN,4759
MARCHEWKA,4758
GADOMSKA,4756
WIĄCEK,4734
KORZENIOWSKA,4729
MOSKAL,4717
JURCZAK,4713
BALCERZAK,4711
PIŁAT,4708
BARTNIK,4701
JAROS,4695
KIEŁBASA,4693
MILLER,4690
STACHURSKA,4690
BŁASZCZAK,4689
GOLEC,4686
OLCZYK,4684
CICHA,4681
CZEKAJ,4681
KUCIŃSKA,4680
FRĄTCZAK,4678
TRACZ,4675
WOLIŃSKA,4672
URBANOWICZ,4669
SURMA,4662
KUŹMA,4659
CZERNIAK,4654
OSSOWSKA,4645
PIETRUSZKA,4643
BOIKO,4631
KOPACZ,4627
IVANOVA,4616
PAWLICKA,4615
ŻYŁA,4615
STACHOWICZ,4611
GŁĄB,4610
ZABŁOCKA,4606
RYBARCZYK,4604
PIOTROWICZ,4585
RUDZKA,4576
BUDZIŃSKA,4570
RUDNIK,4568
BIELSKA,4567
SZELĄG,4567
ŚLĘZAK,4567
ALEKSANDROWICZ,4561
KOSTECKA,4560
SZYMKOWIAK,4558
RADECKA,4553
ROMAN,4552
GRUDZIEŃ,4551
RYŚ,4547
GRZEŚKOWIAK,4535
LESIAK,4534
KOSOWSKA,4531
MAGIERA,4530
WOJTKOWIAK,4526
SOBAŃSKA,4497
WARZECHA,4488
MACKIEWICZ,4486
BIELIŃSKA,4483
KAWECKA,4478
KULIŃSKA,4474
KOZIK,4471
KUJAWSKA,4468
WOŹNICA,4457
SOBOTA,4452
JURCZYK,4449
WOJTASIK,4447
NAPIERAŁA,4442
SĘK,4442
PEŁKA,4439
TRELA,4439
SEKUŁA,4436
BONDARENKO,4423
TOMASIK,4417
PELC,4412
POGORZELSKA,4412
STAWICKA,4402
KRAKOWSKA,4401
SZUBA,4394
OLEKSY,4389
WOŁOSZYN,4389
GRUDZIŃSKA,4385
ŚMIGIELSKA,4372
KMIEĆ,4366
SZWARC,4361
HOFFMANN,4357
ŚWIĄTKOWSKA,4357
SKORUPA,4356
GUT,4343
KRASOWSKA,4340
PIWOWARSKA,4325
MIERZWA,4320
IZDEBSKA,4317
BISKUP,4316
WOLNA,4314
KRUCZEK,4302
SCHMIDT,4285
PANASIUK,4283
BANASZEK,4278
KAWKA,4278
KOVALENKO,4278
WERNER,4269
RATAJCZYK,4267
LITWIN,4264
ŁUKASZEWICZ,4260
ŚWIDER,4239
LORENC,4235
BORYS,4234
KRUKOWSKA,4227
JUSZCZYK,4219
NIEDZIELA,4215
STUDZIŃSKA,4202
ROSZKOWSKA,4199
WIŚNIOWSKA,4199
MAKUCH,4187
ROSZAK,4177
MAŃKA,4170
SZAREK,4164
PIĘTKA,4161
WRZESIŃSKA,4153
KARCZ,4146
SIWIEC,4145
POLAŃSKA,4144
SZOT,4142
JEZIORSKA,4130
DUSZYŃSKA,4129
JÓŹWIK,4129
LISZKA,4129
BURY,4117
JAKUBCZYK,4116
KWIATEK,4111
PAPROCKA,4111
BOGACZ,4109
KRÓLAK,4104
ŻUCHOWSKA,4094
BOBROWSKA,4087
NOWIŃSKA,4086
KNAP,4075
ADAMIEC,4059
ROŻEK,4059
KORZENIEWSKA,4057
KOSMALA,4057
FILIP,4055
TUROWSKA,4053
LANGE,4047
KRASZEWSKA,4045
WOJDA,4035
GACEK,4034
SIDOR,4032
KORCZAK,4024
RYBKA,4018
MIELCAREK,4015
DROŻDŻ,4008
KUSIAK,4007
WACH,4007
GRABARCZYK,4006
KUKLA,4000
KRUSZYŃSKA,3999
TKACZ,3999
GRODZKA,3986
RUSEK,3983
BOGDAŃSKA,3974
WAGNER,3973
KĘDZIOR,3971
WOŹNA,3961
PASZKIEWICZ,3951
LEWIŃSKA,3949
SHEVCHUK,3949
RZEPECKA,3946
JAKUBIEC,3943
GRZYBEK,3939
MAŁKOWSKA,3936
WOJTOWICZ,3928
TOKARCZYK,3924
ŚPIEWAK,3917
SZELIGA,3916
SZKUDLAREK,3910
GOLA,3909
OLECH,3909
SZOPA,3909
SZYMANEK,3909
ŚLEDŹ,3908
PERKOWSKA,3907
RADZISZEWSKA,3904
ROGOZIŃSKA,3893
KOZAKIEWICZ,3882
GĄSIOREK,3868
LIPIEC,3868
ROMAŃSKA,3865
DUTKIEWICZ,3863
WASIELEWSKA,3860
JANCZAK,3858
BILIŃSKA,3856
RACZKOWSKA,3855
BARTOSZEK,3853
STASZAK,3850
AMBROZIAK,3849
KURZAWA,3844
SKONIECZNA,3844
KAPUŚCIŃSKA,3836
DYMEK,3834
WYRZYKOWSKA,3834
POTOCKA,3832
WAJDA,3827
GŁADYSZ,3824
MAZIARZ,3815
RESZKA,3815
KONARSKA,3811
ROKICKA,3809
BUGAJSKA,3805
PISAREK,3805
MAJKOWSKA,3804
PUCHAŁA,3803
KOVAL,3802
PIECH,3799
KOKOT,3794
BANASZAK,3790
ADAMCZEWSKA,3788
KULPA,3788
KUPIEC,3785
SMOLEŃ,3783
WRZOSEK,3783
KAŹMIERSKA,3780
SUCHECKA,3779
DZIKOWSKA,3773
KALIŃSKA,3773
KAWALEC,3773
FLAK,3771
KAROLAK,3766
PLICHTA,3763
RODAK,3757
OLSZAK,3755
SZYMANOWSKA,3753
KOCHAŃSKA,3751
FIGURA,3745
SZCZUREK,3743
SEMENIUK,3741
SOLECKA,3739
TKACHENKO,3739
PĘKALA,3734
CZARNOTA,3730
JASKULSKA,3730
KĘPKA,3722
BIAŁECKA,3721
KOKOSZKA,3716
GOLIŃSKA,3710
BIELA,3700
DOLATA,3700
STOKŁOSA,3691
PIECHOCKA,3690
BUGAJ,3687
PŁATEK,3685
BRZESKA,3677
BALICKA,3671
BOJARSKA,3670
ZBOROWSKA,3669
PIERZCHAŁA,3663
KRAUZE,3662
FERENC,3660
WOJTASZEK,3657
DOLIŃSKA,3656
SZCZYGIELSKA,3655
SUŁKOWSKA,3649
PASEK,3645
OSOWSKA,3642
PARADOWSKA,3642
WASZKIEWICZ,3640
DZIURA,3637
STĘPNIEWSKA,3636
WEBER,3631
JAROSZEWSKA,3630
BRODOWSKA,3623
BURDA,3620
BARSZCZ,3614
CICHOSZ,3608
GÓRALCZYK,3607
MĄCZKA,3606
KOLASIŃSKA,3596
LASEK,3594
KRAVCHENKO,3586
ŚWIERCZEK,3586
BIAŁA,3585
GABRYŚ,3582
CHROBAK,3580
WIELGUS,3577
KEMPA,3576
OSUCH,3569
KOSTKA,3568
MARTYNIUK,3567
SZYMANIAK,3565
MACH,3564
ANTONIAK,3563
PISZCZEK,3559
ORZEŁ,3555
WALCZYK,3553
ŁAWNICZAK,3543
MORAWIEC,3540
SZADKOWSKA,3539
GARBACZ,3538
KOPROWSKA,3538
ZARĘBSKA,3537
GRUCA,3534
LOREK,3534
SUDOŁ,3534
KOZERA,3533
ĆWIKLIŃSKA,3528
FIGIEL,3524
WÓJCIAK,3524
BARON,3522
KOCHANOWSKA,3522
SZPAK,3522
SMOLAREK,3515
PASZEK,3513
JAMRÓZ,3510
LACHOWICZ,3509
ZAPAŁA,3509
PISKORZ,3508
BERNAT,3507
GRELA,3504
TRACZYK,3504
ZIMNA,3499
GOŁĄBEK,3498
BATOR,3497
GRABSKA,3494
BROŻEK,3488
DOBRZAŃSKA,3484
OŻÓG,3484
BŁAŻEJEWSKA,3483
MODRZEJEWSKA,3481
MROWIEC,3480
SUROWIEC,3480
PIĘTA,3479
SALA,3479
KOŁODZIEJCZAK,3478
STACHOWSKA,3475
OLEŚ,3468
ŚWITAŁA,3468
MYŚLIWIEC,3465
WĄSOWSKA,3464
ZAWISZA,3464
CIOŁEK,3463
WDOWIAK,3460
MULARCZYK,3459
KULIKOWSKA,3457
FILIPCZAK,3455
ŁOŚ,3454
WACHOWIAK,3447
BŁOŃSKA,3445
NADOLSKA,3444
GLIŃSKA,3441
FRANCZAK,3440
ZASADA,3439
OLIINYK,3437
